,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
1841,F31257,4695,E,1.0,2020-02-25 08:26:22,2020-02-25,2020-02-28,2020-04-25,,4963.5,0.0,0.0
1894,F31310,7081,E,2.0,2020-02-28 10:16:14,2020-02-28,2020-02-28,2020-02-28,,1903.4724,0.0,0.0
1898,F31314,5149,E,2.0,2020-02-28 12:04:26,2020-02-28,2020-02-28,2020-02-28,,1363.2600000000002,0.0,0.0
1899,F31315,5149,E,2.0,2020-02-28 12:06:13,2020-02-28,2020-02-28,2020-02-28,,1363.2600000000002,0.0,0.0
1901,F31317,3222,E,2.0,2020-02-28 12:12:28,2020-02-28,2020-02-28,2020-02-28,,2766.0,0.0,0.0
1902,F31318,5149,E,2.0,2020-02-28 12:13:48,2020-02-28,2020-02-28,2020-02-28,,2766.0,0.0,0.0
1903,F31319,5926,E,2.0,2020-02-28 12:32:20,2020-02-28,2020-02-28,2020-02-28,,450.99,0.0,0.0
1904,F31320,7067,E,5.0,2020-02-28 12:47:38,2020-02-28,2020-02-28,2020-02-28,,27753.000000000004,0.0,0.0
1905,F31321,6963,E,2.0,2020-02-28 12:50:58,2020-02-28,2020-02-28,2020-02-28,,262.5,0.0,0.0
1906,F31322,7079,E,2.0,2020-02-28 13:01:51,2020-02-28,2020-02-28,2020-02-28,,1034.4827,0.0,0.0
1908,F31324,6397,E,2.0,2020-02-28 13:25:46,2020-02-28,2020-02-28,2020-02-28,,252.16000000000003,0.0,0.0
1909,F31325,5926,E,2.0,2020-02-28 13:57:39,2020-02-28,2020-02-28,2020-02-28,,244.50000000000003,0.0,0.0
1910,F31326,7082,E,2.0,2020-02-28 14:17:48,2020-02-28,2020-02-28,2020-02-28,,1464.862,0.0,0.0
1911,F31327,6536,E,2.0,2020-02-28 14:22:08,2020-02-28,2020-02-28,2020-02-28,,796.8189000000001,0.0,0.0
1912,F31328,5915,E,2.0,2020-02-28 14:24:34,2020-02-28,2020-02-28,2020-03-14,,4438.5172,0.0,0.0
1913,F31329,6054,E,2.0,2020-02-28 14:28:28,2020-02-28,2020-02-28,2020-02-28,,2586.2068000000004,0.0,0.0
1914,F31330,5088,E,2.0,2020-02-28 14:43:36,2020-02-28,2020-02-28,2020-02-28,,775.8620000000001,0.0,0.0
1915,F31331,5416,E,2.0,2020-02-28 16:40:51,2020-02-28,2020-02-28,2020-02-28,,560.7418,0.0,0.0
1916,F31332,6039,E,2.0,2020-02-28 16:54:46,2020-02-28,2020-02-28,2020-02-28,,3987.2727000000004,0.0,0.0
1917,F31333,7083,E,2.0,2020-02-28 17:22:54,2020-02-28,2020-02-28,2020-02-28,,912.0,0.0,0.0
1921,F31337,6573,E,2.0,2020-02-28 17:40:58,2020-02-28,2020-02-28,2020-02-28,,300.0,0.0,0.0
1925,F31341,5926,E,2.0,2020-02-28 18:56:12,2020-02-28,2020-02-28,2020-02-28,,530.1724,0.0,0.0
1926,F31342,5926,E,2.0,2020-02-28 18:58:31,2020-02-28,2020-02-28,2020-02-28,,2155.1724,0.0,0.0
1927,F31343,5926,E,2.0,2020-02-28 19:00:29,2020-02-28,2020-02-28,2020-02-28,,1724.1379,0.0,0.0
1928,F31344,5926,E,2.0,2020-02-28 19:02:06,2020-02-28,2020-02-28,2020-02-28,,1033.5775,0.0,0.0
1929,F31345,6478,E,2.0,2020-02-28 19:03:42,2020-02-28,2020-02-28,2020-02-28,,1201.0775,0.0,0.0
1930,F31346,3686,E,2.0,2020-02-28 19:05:31,2020-02-28,2020-02-28,2020-03-14,,4310.3448,0.0,0.0
1931,F31347,5598,E,2.0,2020-02-28 19:10:38,2020-02-28,2020-02-28,2020-02-28,,1724.1379,0.0,0.0
1932,F31348,5926,E,2.0,2020-02-28 19:13:35,2020-02-28,2020-02-28,2020-02-28,,724.1379,0.0,0.0
1933,F31349,5926,E,2.0,2020-02-28 19:15:25,2020-02-28,2020-02-28,2020-02-28,,20250.0,0.0,0.0
1934,F31350,871,E,1.0,2020-02-28 19:17:01,2020-02-28,2020-02-28,2020-03-14,,2704.0,0.0,0.0
1935,F31351,7031,E,3.0,2020-02-28 19:18:24,2020-02-28,2020-02-28,2020-02-28,,643.0,0.0,0.0
1936,F31352,7075,E,5.0,2020-02-28 19:19:49,2020-02-28,2020-02-28,2020-02-28,,4100.0,0.0,0.0
1937,F31353,6744,E,3.0,2020-02-28 19:21:20,2020-02-28,2020-02-28,2020-02-28,,631.0,0.0,0.0
1938,F31354,5926,E,2.0,2020-02-28 19:22:42,2020-02-28,2020-02-28,2020-02-28,,301.8103,0.0,0.0
1939,F31355,3806,E,2.0,2020-02-28 19:24:00,2020-02-28,2020-02-28,2020-02-28,,4242.4137,0.0,0.0
1940,F31356,5926,E,2.0,2020-02-28 19:26:02,2020-02-28,2020-02-28,2020-02-28,,3300.0,0.0,0.0
1941,F31357,5926,C,2.0,2020-02-28 19:27:20,2020-02-28,2020-02-28,2020-02-28,2020-03-02,2840.0,0.0,0.0
1942,F31358,5926,E,2.0,2020-02-28 19:28:41,2020-02-28,2020-02-28,2020-02-28,,1312.5,0.0,0.0
1943,F31359,993,E,2.0,2020-02-28 19:30:29,2020-02-28,2020-02-28,2020-03-14,,2842.0,0.0,0.0
1944,F31360,5926,E,2.0,2020-02-28 19:37:16,2020-02-28,2020-02-28,2020-02-28,,1677.75,0.0,0.0
1945,F31361,5926,C,2.0,2020-02-28 19:39:58,2020-02-28,2020-02-28,2020-02-28,2020-03-02,442.1724,0.0,0.0
1946,F31362,5926,E,2.0,2020-02-28 19:41:24,2020-02-28,2020-02-28,2020-02-28,,27.4396,0.0,0.0
1947,F31363,5926,E,2.0,2020-02-28 19:42:36,2020-02-28,2020-02-28,2020-02-28,,209.3103,0.0,0.0
1948,F31364,5926,E,2.0,2020-02-28 19:43:45,2020-02-28,2020-02-28,2020-02-28,,1337.5603,0.0,0.0
1959,F31375,5926,E,2.0,2020-03-03 12:09:01,2020-03-03,2020-02-28,2020-03-03,,3244.3137000000006,0.0,0.0
2000,F31416,7020,C,3.0,2020-03-05 09:33:35,2020-03-05,2020-02-28,2020-03-05,2020-03-09,7228.6,0.0,0.0
2003,F31419,6536,E,2.0,2020-03-05 12:57:56,2020-03-05,2020-02-28,2020-03-05,,1593.65,0.0,0.0
2009,F31425,6744,E,3.0,2020-03-06 09:26:31,2020-03-06,2020-02-28,2020-03-06,,1833.0000000000002,0.0,0.0
2022,F31438,5088,E,2.0,2020-03-09 10:17:08,2020-03-09,2020-02-28,2020-03-09,,1440.0000000000002,0.0,0.0
2030,F31446,7020,E,3.0,2020-03-09 17:04:39,2020-03-09,2020-02-28,2020-03-09,,7763.6,0.0,0.0
2069,F31485,5472,E,2.0,2020-03-12 13:12:31,2020-03-12,2020-02-28,2020-03-12,,3577.86,0.0,0.0
